zcta_code,Total population,sex ratio,median age,disability rate,computer rate,internet rate,full time percent,median households income,poverty rate,households with disability,food stamps households,uninsured rate,need_service_households,non_white_rate,worker rate,Total population_weighted,sex ratio_weighted,median age_weighted,non_white_rate_weighted,disability rate_weighted,households with disability_weighted,need_service_households_weighted,poverty rate_weighted,food stamps households_weighted,uninsured rate_weighted,full time percent_weighted,worker rate_weighted,Combined_Score,demographic_demand,vulnerability_demand,poverty_demand,development_demand
60026,13.216481993171268,69.93720565149135,82.3321554770318,13.64448479965472,96.6119829,95.0606277,82.75058275058275,58.2132,18.037135278514587,38.41059602649007,1.726121979286536,16.071428571428573,94.93571909901046,25.233996337143346,55.40155364325415,1.4642271221750989,2.220339072026865,3.1763347314507158,2.5593422983040246,1.1176374841029757,2.5401899398468726,5.909619455145182,1.7935042851852787,0.3221680259684265,2.1341576378882254,3.2589340111642264,2.7100644668501044,29.206518530108,9.420243223956705,9.56744687909503,4.2498299490419305,5.968998478014331
60029,0.0,0.0,0.0,0.0,0.0,0.0,84.84848484848484,91.5,24.6684350132626,29.58057395143488,0.0,7.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9562382295372465,0.0,2.4528808606210433,0.0,0.9485145057281003,3.341554873419094,0.0,8.699188469305485,0.0,1.9562382295372465,3.4013953663491434,3.341554873419094
60043,2.2542260924576927,75.35321821036106,71.37809187279152,5.648706764580072,99.112801,98.6058302,78.08857808857809,100.0,17.241379310344826,19.86754966887417,0.1150747986191024,2.5,92.81474346160326,3.8543153084490887,58.18148517786971,0.24974111762848544,2.392284522049148,2.753732256450835,0.3909215198463964,0.46269291288744663,1.3138913481966579,5.777591605041278,1.714379096132987,0.0214778683978951,0.33198007700483506,3.075332095042298,2.846049708721657,21.33007412739992,5.786679415974865,7.554175866125382,2.067837041535717,5.921381803763955
60053,23.262348004875008,77.0015698587127,81.62544169611307,22.41216335822193,93.3231508,91.5448396,83.1002331002331,41.176,16.710875331564985,57.83664459161148,6.412804686682707,22.85714285714286,88.8249333755345,39.31605578508039,60.47673928404121,2.577188157318469,2.4446157459689726,3.149070055644272,3.9876063715331465,1.8358094304610113,3.8248837025280493,5.529231351063782,1.661628970098126,1.1969030298099723,3.0352464183299213,3.2727041548733706,2.9583261014665485,35.47321348909564,12.15848033046486,11.189924484052844,5.8937784182380195,6.23103025633992
60056,52.94779833840372,77.86499215070643,71.73144876325088,16.573948801232124,94.1043289,91.3240355,83.44988344988344,40.34,16.445623342175065,42.163355408388526,17.554137462077623,34.285714285714285,76.97963958824892,25.33563161001628,64.04911675947844,5.865978739773985,2.472027339450786,2.767364594354057,2.5696505922970965,1.3575936879880837,2.7883694167284636,4.791877915690868,1.6352539070806953,3.2763511974243618,4.55286962749488,3.2864742985825153,3.133075230718395,38.49688654758419,13.675021265875923,8.937841020407417,9.464474731999937,6.419549529300911
60062,39.00006512415455,72.44897959183673,87.27915194346289,16.05653726249198,95.2794881,92.641555,76.68997668997669,54.448,13.79310344827586,42.60485651214128,5.439899571084841,7.857142857142858,82.1364109153657,19.749224311915228,58.18547388717551,4.320737784146146,2.300081889428504,3.367187462095823,2.0030527255716035,1.3152118363539334,2.8175670022439445,5.112879920517752,1.3715032769063895,1.015317415173223,1.0433659563009103,3.0202515202057194,2.846244823454862,30.533401612398805,11.991059861242075,9.24565875911563,3.4301866483805226,5.8664963436605815
60067,36.289039604789416,71.35007849293564,74.02826855123675,14.608583054020004,96.9792075,96.0311233,84.14918414918415,49.0764,14.05835543766578,39.29359823399559,6.967255989120201,12.857142857142858,70.11166702579673,24.358190311400367,64.31818467331344,4.020388788368429,2.265194406815287,2.855974790725,2.4705142198321983,1.1966080251866635,2.5985851108778353,4.364355960228125,1.39787833992382,1.3003873048180123,1.7073261103105803,3.314014586000805,3.1462371611066504,30.637464804193407,11.612072205740914,8.159549096292624,4.405591755052413,6.460251747107455
60068,36.77747076390634,74.8822605965463,79.50530035335689,14.768985584875606,95.4309381,92.9787654,83.68298368298369,55.278400000000005,13.79310344827586,37.74834437086093,2.772256512187467,12.142857142857142,81.16904237085338,8.904623845909505,60.19588766065289,4.074501081705183,2.3773327437863405,3.06727602822494,0.9031459050256339,1.2097468049692275,2.4963935615736506,5.052662543694774,1.3715032769063895,0.5174213750402001,1.6124746597377702,3.2956543943886123,2.944587750193894,28.922700125246617,10.422255758742097,8.758802910237652,3.50139931168436,6.240242144582506
60070,14.76922790663057,84.37990580847723,70.4946996466431,16.07980990096605,94.0288925,91.2359551,81.7016317016317,33.6216,18.567639257294427,45.033112582781456,4.320535620880845,55.71428571428572,70.39700839724769,32.99561226612299,64.27102999128955,1.6362526794685128,2.6788602720862853,2.7196514116927797,3.346559340140082,1.3171181284195201,2.9781537225790915,4.382118072698414,1.8462544112201398,0.8063963316664251,7.398413144679182,3.217623580036792,3.143930506874146,35.471331601561374,10.381323703387661,8.677389923697024,10.051063887565746,6.361554086910938
60074,35.03214342199522,73.62637362637362,62.36749116607773,18.09537792512828,97.5907846,93.9804734,75.87412587412587,31.3148,27.05570291777188,46.799116997792495,16.330160058583534,54.642857142857146,68.04985546128296,36.74165514200834,65.21227516012908,3.881139820181849,2.3374613350855213,2.406107639918675,3.726499396222344,1.4822159249753917,3.094944064641017,4.236010993232231,2.690256427777918,3.047904779010387,7.256135968819967,2.9881211848843816,3.1899731702819603,40.33677070503165,12.35120819140839,8.81317098284864,12.99429717560827,6.178094355166342
