zcta_code,hospital beds,hospital cost per day,nurse beds,nurse cost per day,home cost per visit,Summary star rating,Overall Rating,num_doctors,doctor_rating,home_rating,hospital beds_weighted,nurse beds_weighted,num_doctors_weighted,hospital cost per day_weighted,nurse cost per day_weighted,home cost per visit_weighted,Summary star rating_weighted,Overall Rating_weighted,doctor_rating_weighted,home_rating_weighted,origin_health_score,quantity_score,expenses_score,quality_score,baseline_score,combined_health_score
60131,16.70113248,14.66371363,34.88563165,38.93145672,59.70655496,44.93480442,45.22583941,10.76138143,23.27447129,0,1.519159152,2.796527185,1.384852262,1.364504834,3.077386109,6.707243093,3.473349334,3.074282574,2.121462139,0,25.51876668,5.700538599,11.14913404,8.669094046,20,45.51876668
60133,0.301667935,0.176208701,0.729475199,1.074785227,0.392523556,0.300902708,2.394384599,0.080754451,0.945028014,0,0.027440151,0.058476717,0.010392066,0.016396776,0.084957754,0.044094839,0.023259036,0.162761265,0.086139063,0,0.513917667,0.096308935,0.145449369,0.272159364,20,20.51391767
60141,0.402302842,0.429152934,0.119521219,0.15021095,0.061640605,1.654964895,0.261885815,0.38195927,0.370252443,0,0.036594048,0.009581146,0.049153277,0.039934035,0.011873614,0.006924508,0.127924696,0.017802013,0.033748416,0,0.333535754,0.095328471,0.058732157,0.179475126,20,20.33353575
60153,0.829942003,0.823673825,0.239042437,0.300421901,0.123281209,3.159478435,0.710832928,0.754172313,0.776102838,0,0.075492724,0.019162292,0.097052339,0.076645449,0.023747228,0.013849016,0.244219875,0.048319751,0.070741576,0,0.66923025,0.191707355,0.114241693,0.363281202,20,20.66923025
60154,0,0,0.19545545,0.37529812,0.758725652,0,0.249415062,0.041460139,0.232834936,0,0,0.015668241,0.00533539,0,0.029665913,0.085232809,0,0.016954298,0.021222845,0,0.174079497,0.021003631,0.114898722,0.038177144,20,20.1740795
60155,3.117077468,3.118245726,3.655133001,6.129221886,4.957960104,13.84152457,5.873724719,3.141069672,5.951988864,0,0.283533872,0.29300541,0.404215525,0.290162606,0.484492076,0.556961354,1.069915643,0.399273729,0.542522271,0,4.324082486,0.980754807,1.331616036,2.011711643,20,24.32408249
60160,0.949519952,0.916200599,0.3140796,0.352054268,0.149994559,3.309929789,1.047543262,0.819611265,0.900418502,0,0.086369707,0.025177476,0.105473495,0.085255357,0.027828574,0.016849908,0.255849393,0.071208054,0.082072917,0,0.756084882,0.217020678,0.129933839,0.409130364,20,20.75608488
60162,0,0,0.367428806,0.639333109,1.22676614,0,0.411534853,0.077505709,0.395614097,0,0,0.029454093,0.009973994,0,0.050536892,0.137810978,0,0.027974592,0.036060124,0,0.291810674,0.039428087,0.18834787,0.064034717,20,20.29181067
60163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60164,1.037131519,0.959813622,0.386108943,0.400563154,0.275669997,3.309929789,1.15978004,0.834462658,0.946780195,0,0.094338982,0.030951544,0.10738468,0.089313687,0.03166302,0.030967884,0.255849393,0.078837488,0.086298774,0,0.805605451,0.232675206,0.151944591,0.420985655,20,20.80560545
60165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60169,2.302289898,1.595067246,5.118990893,6.713765822,6.427213989,3.761283851,13.85500672,0.711010452,5.719066743,0,0.209419617,0.410352243,0.091497959,0.148426042,0.530698089,0.722012628,0.290737946,0.94181128,0.521291479,0,3.866247282,0.711269819,1.401136758,1.753840705,20,23.86624728
60171,27.36843269,24.40735742,53.84327998,59.84837076,90.56416395,75.67703109,71.70469259,18.59719309,37.73710218,0,2.489472199,4.316223874,2.393221083,2.271181642,4.730789966,10.17368802,5.849647482,4.874215487,3.439727266,0,40.53816702,9.198917155,17.17565963,14.16359023,20,60.53816702
60172,11.30260246,9.260919371,26.83116797,31.45154243,44.46213314,26.17853561,44.25478344,5.747953292,21.40813727,0,1.028101058,2.150859453,0.739688131,0.861757776,2.486126848,4.994733588,2.023536107,3.008273838,1.951346267,0,19.24442307,3.918648642,8.342618212,6.983156212,20,39.24442307
60173,7.319906929,5.472800159,17.1601864,22.67316031,28.060044,13.54062186,42.41718828,2.405925706,19.45299578,0,0.665829315,1.375607248,0.309611891,0.509261328,1.792228559,3.152175443,1.046656607,2.883361026,1.773135618,0,13.50786704,2.351048455,5.45366533,5.703153251,20,33.50786704
60176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
